T1	전사	204	검 T1	1	203	1	4	1	10	2	-1	0
T1	전사	103	전사 옷 T1	1	404	4	403	2	-1	0	-1	0
T1	전사	107	투구 T1	1	404	4	403	2	-1	0	-1	0
T1	레인저	207	활 T1	1	206	1	403	2	10	2	-1	0
T1	레인저	101	궁수 옷 T1	1	404	4	403	2	-1	0	-1	0
T1	레인저	105	모자 T1	1	404	4	403	2	-1	0	-1	0
T1	기타	501	HP Potion	1	401	1	-1	0	-1	0	-1	0
T1	기타	502	Mp Potion	1	401	1	-1	0	-1	0	-1	0
T2	전사	205	검 T2	1	204	1	5	2	405	2	406	2
T2	전사	104	전사 옷 T2	1	103	1	5	2	405	2	406	2
T2	전사	108	투구 T2	1	107	1	5	2	405	2	406	2
T2	레인저	208	활 T2	1	207	1	5	1	405	4	406	3
T2	레인저	102	궁수 옷 T2	1	101	1	5	1	405	4	406	3
T2	레인저	106	모자 T2	1	105	1	5	1	405	4	406	3
T2	기타	501	HP Potion	2	402	1	-1	0	-1	0	-1	0
T2	기타	502	Mp Potion	2	402	1	-1	0	-1	0	-1	0
ETC	전사	203	기본 검	1	4	2	10	4	404	4	-1	0
ETC	레인저	206	기본 활	1	4	2	10	4	403	2	-1	0
ETC	기타	10	나무 판자	2	407	1	-1	0	-1	0	-1	0
ETC	기타	7	황토색 벽돌	2	6	1	1	1	-1	0	-1	0
ETC	기타	8	검은색 벽돌	2	6	1	1	1	-1	0	-1	0
ETC	기타	201	곡갱이	1	4	1	10	2	-1	0	-1	0
ETC	기타	202	도끼	1	4	1	10	2	-1	0	-1	0
ETC	기타	209	횃불	4	6	1	10	2	-1	0	-1	0
ETC	기타	408	조합 대	1	10	5	4	2	5	1	-1	0
ETC	기타	9	랜덤 블록	1	7	2	8	2	3	2	5	2
